lon,lat,Grade,ActiveTeams,InactiveTeams,School,Local District,Hosting,Grants,VIQC,VRC,Workshop,NumberofteamsVEXIQESLeague,EventDatesVEXIQESLeague,EventWebsiteVEXIQESLeague,NumberofteamsVEXIQMSLeague,EventDatesVEXIQMSLeague,EventWebsiteVEXIQMSLeague,NumberofteamsVEXIQESMSLeague,Event DatesVEXIQESMSLeague,EventWebsiteVEXIQESMSLeague,NumberofteamsVEXIQESTournament,EventDatesVEXIQESTournament,EventWebsiteVEXIQESTournament,NumberofteamsVEXIQMSTournament,EventDatesVEXIQMSTournament,EventWebsiteVEXIQESTournament,NumberofteamsVEXIQESMSTournament,EventDatesVEXIQESMSTournament,EventWebsiteVEXIQESMSTournament,workshopDates
-118.3162304503,33.9727506766,Elementary,,,74th Street Elementary School,West,,,,,,,,,,,,,,,,,,,,,,,,
-118.2749771512,33.9718930892,Elementary,,,75th Street Elementary School,South,,,,,,,,,,,,,,,,,,,,,,,,
-118.311238455,33.7383375677,Elementary,,,7th Street Elementary School,South,,,,,,,,,,,,,,,,,,,,,,,,
-118.2367262392,33.9530334514,Elementary,64652A,,92nd Street Elementary School,South,,,Yes,,,,,,,,,,,,,,,,,,,,,
-118.268223453,33.9512917558,Elementary,2327A,,93rd Street Elementary School,South,,,Yes,,,,,,,,,,,,,,,,,,,,,
-118.2945702399,33.9492016611,Elementary,"90044C, 90044B",,95th Street Elementary School,West,,,Yes,,,,,,,,,,,,,,,,,,,,,
-118.2478925241,33.9501097581,Elementary,70364A,,96th Street Elementary School,South,,,Yes,,,,,,,,,,,,,,,,,,,,,
-118.2584957721,33.9465333709,Elementary,,,99th Street Elementary School,South,,,,,,,,,,,,,,,,,,,,,,,,
-118.2483871171,34.0389826682,Elementary,,,9th Street Elementary School,Central,,,,,,,,,,,,,,,,,,,,,,,,
-118.2036297494,34.0749575902,High,,,Abraham Lincoln High School,East,,,,,,,,,,,,,,,,,,,,,,,,
-118.181511651,34.0852794598,span,,,Academia Semillas del Pueblo,East,,,,,,,,,,,,,,,,,,,,,,,,
-118.2683231627,33.9356276983,High,,,Alain Leroy Locke College Preparatory Academy,South,,,,,,,,,,,,,,,,,,,,,,,,
-118.2204989819,34.069283984,Elementary,2146A,,Albion Street Elementary School,East ,,,Yes,,,,,,,,,,,,,,,,,,,,,
