lon,lat,Grade,ActiveTeams,InactiveTeams,School,Local District,Hosting,Grants,VIQC,VRC,Workshop,NumberofteamsVEXIQESLeague,EventDatesVEXIQESLeague,EventWebsiteVEXIQESLeague,NumberofteamsVEXIQMSLeague,EventDatesVEXIQMSLeague,EventWebsiteVEXIQMSLeague,NumberofteamsVEXIQESMSLeague,Event DatesVEXIQESMSLeague,EventWebsiteVEXIQESMSLeague,NumberofteamsVEXIQESTournament,EventDatesVEXIQESTournament,EventWebsiteVEXIQESTournament,NumberofteamsVEXIQMSTournament,EventDatesVEXIQMSTournament,EventWebsiteVEXIQESTournament,NumberofteamsVEXIQESMSTournament,EventDatesVEXIQESMSTournament,EventWebsiteVEXIQESMSTournament,workshopDates
-118.2581662209,34.0896290305,Elementary,2150C,,Clifford Street Math & Technology Magnet,Central,,,Yes,,,,,,,,,,,,,,,,,,,,,
-118.4251064503,34.0273313629,Elementary,,,Clover Avenue Elementary School,West,,,,,,,,,,,,,,,,,,,,,,,,
-118.4533413527,33.9894545005,Elementary,,,Coeur d'Alene Avenue Elementary School,West,,,,,,,,,,,,,,,,,,,,,,,,
-118.4779588078,34.2077367812,Elementary,,,Cohasset Street Elementary School,Northwest,,,,,,,,,,,,,,,,,,,,,,,,
-118.4134823814,34.1954945405,Elementary,,,Coldwater Canyon Elementary School,Northeast,,,,,,,,,,,,,,,,,,,,,,,,
-118.3889356209,34.1608341612,Elementary,,,Colfax Charter Elementary School,Northeast,,,,,,,,,,,,,,,,,,,,,,,,
-118.3435685945,34.0183099792,Elementary,,,Coliseum Street Elementary School,West,,,,,,,,,,,,,,,,,,,,,,,,
-118.4636231381,34.1932418184,Elementary,,,Columbus Avenue Elementary School,Northwest,,,,,,,,,,,,,,,,,,,,,,,,
-118.2858384379,34.0707617188,Elementary,,,Commonwealth Avenue Elementary School,Central,,,,,,,,,,,,,,,,,,,,,,,,
-118.4625285368,34.0825442105,Elementary,,,Community Magnet Charter School,West,,,,,,,,,,,,,,,,,,,,,,,,
-118.2470565058,33.9428035822,Elementary,3205C,,Compton Avenue Elementary School,South,,,Yes,,,,,,,,,,,,,,,,,,,,,
-118.1975227933,33.9759041002,Elementary,"68538C, 68538B, 68538A",,Corona Avenue Elementary School,East ,,,Yes,,,,,,,,,,,,,,,,,,,,,
-118.4054073361,33.9729033902,Elementary,"64191A, 13721A ",,Cowan Avenue Elementary School,West,,,Yes,,,,,,,,,,,,,,,,,,,,,
-118.3290888948,33.9971750396,High,,,Crenshaw High School ,West,,,,,,,,,,,,,,,,,,,,,,,,
-118.3738862802,34.0471649543,Elementary,"49639B, 49639A",,Crescent Heights Boulevard Elementary Language Arts and Social Justice Magnet,West,,,Yes,,,,,,,,,,,,,,,,,,,,,
-118.312725609,33.7497623756,Elementary,"3302B, 3302A",,Crestwood Street Elementary School,South,,,Yes,,,,,,,,,,,,,,,,,,,,,
-118.1990619099,34.1391201431,Elementary,,,Dahila Heights Elementary School,Central,,,,,,,,,,,,,,,,,,,,,,,,
-118.2895145922,33.9596224229,Elementary,,,Danny J. Bakewell Sr. Primary Center,South,,,,,,,,,,,,,,,,,,,,,,,,
-118.4744388067,34.2744241347,Elementary,,,Danube Avenue Elementary School,Northwest,,,,,,,,,,,,,,,,,,,,,,,,
-118.5333608567,34.2667197293,Elementary,,,Darby Avenue Charter School,Northwest,,,,,,,,,,,,,,,,,,,,,,,,
-118.1622021914,34.0314795089,Middle,,,David Wark Griffith Middle School,East,,,,,,,,,,,,,,,,,,,,,,,,
-118.2882868248,34.0822948955,Elementary,,,Dayton Heights Elementary School,Central,,,,,,,,,,,,,,,,,,,,,,,,
-118.5079982709,34.2390127236,Elementary,"71659D, 49773A",,Dearborn Elementary Charter School,Northwest,,,Yes,,,,,,,,,,,,,,,,,,,,,
-118.2400389074,33.8360910785,Elementary,"21228B, 21228A",,Del Amo Elementary School,South,,,Yes,,,,,,,,,,,,,,,,,,,,,
-118.2273223878,34.1275907692,Elementary,63158A,,Delevan Drive Elementary School,Central,,,Yes,,,,,,,,,,,,,,,,,,,,,
-118.3046445795,33.8832385179,Elementary,,,Denker Avenue Elementary School,South,,,,,,,,,,,,,,,,,,,,,,,,
-118.2562444519,33.9842628614,High,,,Diego Rivera Learning Complex ,South,,,,,,,,,,,,,,,,,,,,,,,,
-118.4246388552,34.1478829962,Elementary,,,Dixie Canyon Community Charter School,Northeast,,,,,,,,,,,,,,,,,,,,,,,,
-118.2680841765,34.0225327665,Elementary,,,Dolores Huerta Elementary School,Central,,,,,,,,,,,,,,,,,,,,,,,,
-118.2719230963,33.8218896203,Elementary,"73681B, 73681A",,Dolores Street Elementary School,South,,,Yes,,,,,,,,,,,,,,,,,,,,,
-118.2150759136,33.8363861349,Elementary,"28823B, 28823A",,Dominguez Elementary School,South,,,Yes,,,,,,,,,,,,,,,,,,,,,
-118.2378390372,34.0915324167,Elementary,,,Dorris Place Elementary School,Central,,,,,,,,,,,,,,,,,,,,,,,,
-118.2607856589,34.0037155777,Middle,,,Dr. George Washington Carver Middle School,Central,,,,,,,,,,,,,,,,,,,,,,,,
-118.2921773221,34.0014282907,Elementary,,,Dr. James Edward Jones Primary Center,Central,,,,,,,,,,,,,,,,,,,,,,,,
-118.2488755526,34.0159691928,Middle,5173A,,Dr. Julian Nava Learning Academy,Central,,,Yes,,,,,,,,,,,,,,,,,,,,,
-118.2518010849,33.9846793279,Elementary,1321A,,Dr. Lawrence H. Moore Math/Science/Technology Academy,South,,,Yes,,,,,,,,,,,,,,,,,,,,,
-118.2759508523,33.9779124854,Middle,,,Dr. Mary McLeod Bethune Middle School,South,,,,,,,,,,,,,,,,,,,,,,,,
-118.267044139,33.9939911439,High,,,Dr. Maya Angelou Community High School ,Central,,,,,,,,,,,,,,,,,,,,,,,,
-118.2742247235,33.9550284451,Elementary,,,Dr. Owen Lloyd Knox Elementary School,South,,,,,,,,,,,,,,,,,,,,,,,,
-118.2838109086,33.7833939403,High,,,Dr. Richard A. Vladovic Harbor Teacher Preparation Academy,South,,,,,,,,,,,,,,,,,,,,,,,,
-118.2881476051,34.0745778735,Elementary,,,Dr. Sammy Lee Elementary M/HS Magnet,Central,,,,,,,,,,,,,,,,,,,,,,,,
-118.447815364,34.3005221786,Elementary,,,Dyer Street Elementary School,Northeast,,,,,,,,,,,,,,,,,,,,,,,,
-118.2130395821,34.1361302492,Elementary,"2057B, 2057A",,Eagle Rock Elementary School,Central,,,Yes,,,,,,,,,,,,,,,,,,,,,
-118.2066125339,34.1322908494,High,,,Eagle Rock High School,Central,,,,,,,,,,,,,,,,,,,,,,,,
-118.3708226674,34.1712104324,High,,,East Valley High School ,Northeast,,,,,,,,,,,,,,,,,,,,,,,,
-118.1855573365,34.0186613707,Elementary,,,Eastman Avenue Elementary School,East ,,,,,,,,,,,,,,,,,,,,,,,,
-118.2546227925,34.0609583778,High,,,Edward R. Roybal Learning Center,Central,,,,,,,,,,,,,,,,,,,,,,,,
-118.245929167,33.9401231887,Middle,,,Edwin Markham Middle School,South,,,,,,,,,,,,,,,,,,,,,,,,
-118.6430586792,34.1697022043,High,,,El Camino Real Charter High School,Northwest,,,,,,,,,,,,,,,,,,,,,,,,
-118.4657227748,34.3015828999,Elementary,"12749E, 12749B",,El Dorado Avenue Elementary School,Northeast,,,Yes,,,,,,,,,,,,,,,,,,,,,
-118.5051709744,34.2933932609,Elementary,21895A,,El Oro Way Charter for Enriched Studies,Northwest,,,Yes,,,,,,,,,,,,,,,,,,,,,
-118.1773920669,34.0900469787,Elementary,3838R,,El Sereno Elementary School,East ,,,Yes,,,,,,,,,,,,,,,,,,,,,
-118.1785772658,34.0805335933,Middle,84838A,,El Sereno Middle School,East ,,,Yes,,,,,,,,,,,,,,,,,,,,,
-118.1831552834,33.9633646249,span,"12777B, 12777A",,Elizabeth Learning Center ,East ,,,Yes,,,,,,,,,,,,,,,,,,,,,
-118.1767043909,33.9681585972,span,"21124D, 21124C, 21124B, 21124A, ",,Ellen Ochoa Learning Center,East ,,,Yes,,,,,,,,,,,,,,,,,,,,,
-118.2495277811,34.0891559886,Elementary,,,Elysian Heights Arts Magnet,Central,,,,,,,,,,,,,,,,,,,,,,,,
-118.5241709943,34.1771947382,Elementary,88621A,,Emelita Academy Charter School,Northwest,,,Yes,,,,,,,,,,,,,,,,,,,,,
-118.4362310808,34.0541193639,Middle,,,Emerson Community Charter School,West,,,,,,,,,,,,,,,,,,,,,,,,
-118.6275419253,34.1998446113,Elementary,,,Enadia Technology Enriched Charter School,Northwest,,,,,,,,,,,,,,,,,,,,,,,,
-118.5023919226,34.1620662349,Elementary,,,Encino Charter Elementary School,Northwest,,,,,,,,,,,,,,,,,,,,,,,,
-118.592697811,34.2541307885,Middle,91311A,,Ernest Lawrence Middle School,Northwest,,,Yes,,,,,,,,,,,,,,,,,,,,,
-118.4253823967,34.1828682485,Elementary,,,Erwin Elementary School,Northeast,,,,,,,,,,,,,,,,,,,,,,,,
-118.3142632688,33.788319614,Elementary,,,Eshelman Avenue Elementary School,South,,,,,,,,,,,,,,,,,,,,,,,,
-118.2720303842,34.0549651086,Elementary,"2383T, 2383G",,Esperanza Elementary School,Central,,,Yes,,,,,,,,,,,,,,,,,,,,,
-118.1753420809,34.0421409941,High,,,Esteban Torres High School,East,,,,,,,,,,,,,,,,,,,,,,,,
-118.2062115494,34.031456918,Elementary,"45806E, 45806A",,Euclid Avenue Elementary School,East ,,,Yes,,,,,,,,,,,,,,,,,,,,,
-118.1970891473,34.0524826588,Elementary,,,Evergreen Avenue Elementary School,East,,,,,,,,,,,,,,,,,,,,,,,,
-118.37490014,34.1899129823,Elementary,,,Fair Avenue Elementary School,Northeast,,,,,,,,,,,,,,,,,,,,,,,,
-118.4310123297,34.0594742483,Elementary,"90024C,90024A",,Fairburn Avenue Elementary School,West,,,Yes,,,,,,,,,,,,,,,,,,,,,
-118.360252454,34.0820808982,High,,,Fairfax High School ,West,,,,,,,,,,,,,,,,,,,,,,,,
-118.1797450035,34.0774806445,Elementary,"3740C, 3740B, 3740A",,Farmdale Elementary School,East ,,,Yes,,,,,,,,,,,,,,,,,,,,,
-118.2270828319,34.0487099165,High,,,Felicitas and Gonzalo Mendez High School,East,,,,,,,,,,,,,,,,,,,,,,,,
-118.3907265832,34.2805986994,Elementary,,,Fenton Avenue Elementary School,Northeast,,,,,,,,,,,,,,,,,,,,,,,,
-118.4034429959,34.2768239659,Elementary,,,Fenton Avenue Primary Center,Northeast,,,,,,,,,,,,,,,,,,,,,,,,
-118.3951437158,34.231855777,Elementary,,,Fernangeles Elementary School,Northeast,,,,,,,,,,,,,,,,,,,,,,,,
-118.2837818515,33.9346962193,Elementary,,,Figueroa Street Elementary School,South,,,,,,,,,,,,,,,,,,,,,,,,
-118.1903065559,33.9894660807,Elementary,66380F,,Fishburn Avenue Elementary School,East ,,,Yes,,,,,,,,,,,,,,,,,,,,,
-118.2407890361,34.1183862548,Elementary,55177X,,Fletcher Drive Elementary School,Central,,,Yes,,,,,,,,,,,,,,,,,,,,,
-118.2388660891,33.9739659487,Elementary,55621A,,Florence Avenue Elementary School,East ,,,Yes,,,,,,,,,,,,,,,,,,,,,
-118.2374551866,33.9434140347,Elementary,19630A,,Florence Griffith-Joyner Elementary School,South,,,Yes,,,,,,,,,,,,,,,,,,,,,
-118.2191456028,34.0879611627,Middle,49728A,,Florence Nightingale Middle School,East ,,,Yes,,,,,,,,,,,,,,,,,,,,,
-118.1713888129,34.0204738008,Elementary,"51349B, 51349A",,Ford Boulevard Elementary School,East ,,,Yes,,,,,,,,,,,,,,,,,,,,,
-118.3162936182,34.0815741156,Elementary,"11971B, 11971A",,Frances Blend Elementary School,West,,,Yes,,,,,,,,,,,,,,,,,,,,,
-118.2927340741,34.073145623,Elementary,"90004F, 90004D",,Frank Del Olmo Elementary School,Central,,,Yes,,,,,,,,,,,,,,,,,,,,,
-118.2849185901,34.1061187818,Elementary,,,Franklin Avenue Elementary School,Central,,,,,,,,,,,,,,,,,,,,,,,,
-118.2658212193,33.788991345,Elementary,,,Fries Avenue Elementary School,South,,,,,,,,,,,,,,,,,,,,,,,,
-118.5771419641,34.1971242278,Elementary,49762A,,Fullbright Avenue Elementary School,Northwest,,,Yes,,,,,,,,,,,,,,,,,,,,,
-118.530654514,34.2107762054,Elementary,,,Garden Grove Elementary School,Northwest,,,,,,,,,,,,,,,,,,,,,,,,
-118.2867938904,33.8822991598,Elementary,,,Gardena Elementary School,South,,,,,,,,,,,,,,,,,,,,,,,,
-118.2970796053,33.8669817644,High,,,Gardena High School,South,,,,,,,,,,,,,,,,,,,,,,,,
-118.3522150632,34.0995857188,Elementary,,,Gardner Street Elementary School,West,,,,,,,,,,,,,,,,,,,,,,,,
-118.1830537319,34.1172851175,Elementary,29237T,,Garvanza Elementary School,Central,,,Yes,,,,,,,,,,,,,,,,,,,,,
-118.542609481,34.1668169032,Middle,"84633C, 84633B, 84633A",,Gaspar De Portola Middle School,Northwest,,,Yes,,,,,,,,,,,,,,,,,,,,,
-118.2059580783,34.0723973158,Elementary,31149G,,Gates Street Elementary School,East ,,,Yes,,,,,,,,,,,,,,,,,,,,,
-118.5042056217,34.1992560277,Elementary,"91343D, 11225M",,Gault Street Elementary School,Northwest,,,Yes,,,,,,,,,,,,,,,,,,,,,
-118.2658901633,33.776646655,Elementary,,,George De La Torre Elementary School,South,,,,,,,,,,,,,,,,,,,,,,,,
-118.645264957,34.1772720646,Middle,"8169B,8169A ",,George Ellery Hale Middle School,Northwest,,,Yes,,,,,,,,,,,,,,,,,,,,,
-118.4799209276,34.262679136,Middle,"11782B, 11782A",,George K. Porter Middle School,Northwest,,,Yes,,,,,,,,,,,,,,,,,,,,,
-118.2902681802,33.977655545,Elementary,"92930B, 92930A",,Gerald A. Lawson Academy A/M/S Elementary School,West,,,Yes,,,,,,,,,,,,,,,,,,,,,
-118.5850928815,34.2626622598,Elementary,,,Germain Academy for Academic Achievement,Northwest,,,,,,,,,,,,,,,,,,,,,,,,
-118.331254319,34.0555181285,span,,,Girls Academic Leadership Academy,West,,,,,,,,,,,,,,,,,,,,,,,,
-118.2363077888,34.1048949673,Elementary,,,Glassell Park Elementary School,Central,,,,,,,,,,,,,,,,,,,,,,,,
-118.4815962297,34.24136549,Elementary,,,Gledhill Street Elementary School,Northwest,,,,,,,,,,,,,,,,,,,,,,,,
-118.1998468505,34.0848990397,Elementary,1328B,,Glen Alta Elementary School,East ,,,Yes,,,,,,,,,,,,,,,,,,,,,
-118.19977958,34.0849725106,Middle,1328A,,Glen Alta Middle School,East ,,,Yes,,,,,,,,,,,,,,,,,,,,,
-118.2677465858,34.1226949344,Elementary,,,Glenfeliz Boulevard Elementary School,Central,,,,,,,,,,,,,,,,,,,,,,,,
-118.2507236671,33.851428619,Middle,"45846B, 45846A",,Glenn Hammond Curtiss Middle School,South,,,Yes,,,,,,,,,,,,,,,,,,,,,
-118.3585974599,34.2262888767,Elementary,"9078D, 9078C, 9078B, 9078A",,Glenwood Elementary School,Northeast,,,Yes,,,,,,,,,,,,,,,,,,,,,
-118.2376559911,33.9617278836,Elementary,"4219A, 27000B",,Graham Elementary School,South,,,Yes,,,,,,,,,,,,,,,,,,,,,
-118.5078414617,34.2671480245,Elementary,4233A,,Granada Community Charter School,Northwest,,,Yes,,,,,,,,,,,,,,,,,,,,,
-118.5249565423,34.2623376316,High,,,Granada Hills Charter High School,Northwest,,,,,,,,,,,,,,,,,,,,,,,,
-118.4296287169,34.0025719636,Elementary,16564A,,Grand View Boulevard Elementary School,West,,,Yes,,,,,,,,,,,,,,,,,,,,,
-118.3130833306,34.1056643034,Elementary,,,Grant Elementary School,West,,,,,,,,,,,,,,,,,,,,,,,,
-118.2375181997,33.9344531461,Elementary,90059K,,Grape Street Elementary School,South,,,Yes,,,,,,,,,,,,,,,,,,,,,
-118.2628139172,34.0584889126,Elementary,"2385G, 2385E",,Gratts Learning Academy for Young Scholars,Central,,,Yes,,,,,,,,,,,,,,,,,,,,,
-118.429954636,34.3024582635,Elementary,,,Gridley Street Elementary School,Northeast,,,,,,,,,,,,,,,,,,,,,,,,
-118.2119365468,34.068681284,Elementary,,,Griffin Avenue Elementary School,East,,,,,,,,,,,,,,,,,,,,,,,,
-118.5486974964,34.2191912458,High,,,Grover Cleveland High School,Northwest,,,,,,,,,,,,,,,,,,,,,,,,
-118.2727999205,33.7856312384,Elementary,,,Gulf Avenue Elementary School,South,,,,,,,,,,,,,,,,,,,,,,,,
-118.4217564081,34.2542519186,Elementary,"61986B, 61986A",,Haddon Avenue Elementary School,Northeast,,,Yes,,,,,,,,,,,,,,,,,,,,,
-118.64530805,34.1771472971,Middle,,,Hale Charter Academy,Northwest,,,,,,,,,,,,,,,,,,,,,,,,
-118.3013696293,33.8331025676,Elementary,"90050B, 90050A",,Halldale Elementary School,South,,,Yes,,,,,,,,,,,,,,,,,,,,,
-118.6203431988,34.1897886518,Elementary,79652A,,Hamlin Charter Academy,Northwest,,,Yes,,,,,,,,,,,,,,,,,,,,,
-118.3609985317,34.0694153331,Elementary,408A,,Hancock Park Elementary School,West,,,Yes,,,,,,,,,,,,,,,,,,,,,
-118.3031563347,33.7938935615,Elementary,,,Harbor City Elementary School,South,,,,,,,,,,,,,,,,,,,,,,,,
-118.416364494,34.3056261756,Elementary,,,Harding Street Elementary School,Northeast,,,,,,,,,,,,,,,,,,,,,,,,
-118.2601181594,34.0071100668,Elementary,,,Harmony Elementary School,Central,,,,,,,,,,,,,,,,,,,,,,,,
-118.188769254,34.0540565136,Elementary,,,Harrison Elementary School,East,,,,,,,,,,,,,,,,,,,,,,,,
-118.5917264819,34.1968960229,Elementary,"81113B, 81113A",,Hart Street Elementary School,Northwest,,,Yes,,,,,,,,,,,,,,,,,,,,,
-118.3043227343,34.0774079371,Elementary,"17556B, 17556A",,Harvard Elementary School,West,,,Yes,,,,,,,,,,,,,,,,,,,,,
-118.4776784282,34.2683119004,Elementary,,,Haskell Elementary STEAM Magnet,Northwest,,,,,,,,,,,,,,,,,,,,,,,,
-118.276268225,33.7757887893,Elementary,,,Hawaiian Avenue Elementary School,South,,,,,,,,,,,,,,,,,,,,,,,,
-118.6479983247,34.1905175274,Elementary,6190T,,Haynes Charter for Enriched Studies,Northwest,,,Yes,,,,,,,,,,,,,,,,,,,,,
-118.4391124197,34.2006200876,Elementary,,,Hazeltine Avenue Elementary School,Northeast,,,,,,,,,,,,,,,,,,,,,,,,
-118.3147406642,34.0964868629,High,,,Helen Bernstein High School ,West,,,,,,,,,,,,,,,,,,,,,,,,
-118.1774560916,33.9859504971,Elementary,4507A,,Heliotrope Avenue Elementary School,East ,,,Yes,,,,,,,,,,,,,,,,,,,,,
-118.2171547802,33.9813463099,Middle,"82850B, 82850A",,Henry T. Gage Middle School,East ,,,Yes,,,,,,,,,,,,,,,,,,,,,
-118.4640136417,34.3153297632,Elementary,,,Herrick Avenue Elementary School,Northeast,,,,,,,,,,,,,,,,,,,,,,,,
-118.4727284955,34.1621997456,span,"91343D, 11009A",,Hesby Oaks School,Northwest,,,Yes,,,,,,,,,,,,,,,,,,,,,
-118.3475797459,34.0135656654,Elementary,39351A,,Hillcrest Drive Elementary School,West,,,Yes,,,,,,,,,,,,,,,,,,,,,
-118.4084198772,34.2832735456,Elementary,"38291B, 38291A",,Hillery T. Broadous Elementary School,Northeast,,,Yes,,,,,,,,,,,,,,,,,,,,,
-118.2124751405,34.0851040482,Elementary,,,Hillside Elementary School,East ,,,,,,,,,,,,,,,,,,,,,,,,
-118.3049558846,34.0537951121,Elementary,,,Hobart Boulevard Elementary School,Central,,,,,,,,,,,,,,,,,,,,,,,,
-118.2128156868,34.0370194698,Middle,"68225C, 68225B, 68225A",,Hollenbeck Middle School,East ,,,Yes,,,,,,,,,,,,,,,,,,,,,
-118.3400445409,34.0994061877,High,,,Hollywood High School,West,,,,,,,,,,,,,,,,,,,,,,,,
-118.3191911521,34.0916446299,Elementary,,,Hollywood Primary Center,West,,,,,,,,,,,,,,,,,,,,,,,,
-118.2408530848,33.9961317891,Elementary,5108A,,Holmes Avenue Elementary School,East ,,,Yes,,,,,,,,,,,,,,,,,,,,,
-118.5061525493,34.2408873483,Middle,,,Holmes International Middle School,Northwest,,,,,,,,,,,,,,,,,,,,,,,,
-118.253568185,33.9962772638,Elementary,"30866B, 30866A",,Hooper Avenue Elementary School,Central,,,Yes,,,,,,,,,,,,,,,,,,,,,
-118.2525797678,33.9960753354,Elementary,,,Hooper Avenue Primary Center,Central,,,,,,,,,,,,,,,,,,,,,,,,
-118.2857901786,34.0565414729,Elementary,,,Hoover Street Elementary School,Central,,,,,,,,,,,,,,,,,,,,,,,,
-118.2094152794,33.9693380885,Elementary,"68173B, 68173A",,Hope Street Elementary School,East ,,,Yes,,,,,,,,,,,,,,,,,,,,,
-118.3114657543,33.9764547299,span,,,Horace Mann UCLA Community School,West,,,,,,,,,,,,,,,,,,,,,,,,
-118.4235718615,34.3141755916,Elementary,,,Hubbard Street Elementary School,Northeast,,,,,,,,,,,,,,,,,,,,,,,,
-118.3366015485,34.0879507979,Middle,,,Hubert Howe Bancroft Middle School,West,,,,,,,,,,,,,,,,,,,,,,,,
-118.170993537,34.0290669536,Elementary,,,Humphreys Avenue Elementary School,East,,,,,,,,,,,,,,,,,,,,,,,,
-118.191258636,34.0835690111,Elementary,,,Huntinghton Drive Elementary School,East,,,,,,,,,,,,,,,,,,,,,,,,
-118.1954918372,33.9852935145,Elementary,2391A,,Huntington Park Elementary School,East ,,,Yes,,,,,,,,,,,,,,,,,,,,,
-118.2190705214,33.9868328142,High,,,Huntington Park High School,East,,,,,,,,,,,,,,,,,,,,,,,,
-118.2106155003,33.9598264827,Elementary,"71711E, 71711D, 71711C, 71711B",,Independence Elementary School,East ,,,Yes,,,,,,,,,,,,,,,,,,,,,
-118.1790132131,33.9414263394,span,26304A,,International Studies Learning Center,East ,,,Yes,,,,,,,,,,,,,,,,,,,,,
-118.267254802,34.1091021931,Elementary,,,Ivanhoe Elementary School,Central,,,,,,,,,,,,,,,,,,,,,,,,
-118.1885874219,33.9686208201,Elementary,"6873B, 6873A",,Jaime Escalante Elementary School,East ,,,Yes,,,,,,,,,,,,,,,,,,,,,
-118.3071799404,34.0192679973,span,,,James A. Foshay Learning Center,Central,,,,,,,,,,,,,,,,,,,,,,,,
-118.1578100037,34.0257452364,High,,,James A. Garfield High School,East,,,,,,,,,,,,,,,,,,,,,,,,
-118.5715507375,34.2144862214,Middle,44071A,,James Jordan Middle School,Northwest,,,Yes,,,,,,,,,,,,,,,,,,,,,
-118.4165914034,34.1965007464,Middle,,,James Madison Middle School,Northeast,,,,,,,,,,,,,,,,,,,,,,,,
-118.4770230452,34.238568011,High,,,James Monroe High School,Northwest,,,,,,,,,,,,,,,,,,,,,,,,
-118.5702059885,34.2044447804,Middle,,,John A. Sutter Middle School,Northwest,,,,,,,,,,,,,,,,,,,,,,,,
-118.2741142753,34.0299240623,Middle,"91530B, 91530A",,John Adams Middle School,Central,,,Yes,,,,,,,,,,,,,,,,,,,,,
-118.4104307516,34.1829800398,Elementary,,,John B. Monlux Elementary School,Northeast,,,,,,,,,,,,,,,,,,,,,,,,
-118.3362452198,34.0637833862,Middle,,,John Burroughs Middle School,West,,,,,,,,,,,,,,,,,,,,,,,,
-118.2691885145,33.9700652391,High,,,John C. Fremont High School,South,,,,,,,,,,,,,,,,,,,,,,,,
-118.4970621762,34.2956240062,High,,,John F. Kennedy High School,Northwest,,,,,,,,,,,,,,,,,,,,,,,,
-118.4043584284,34.2229815764,High,,,John H. Francis Polytechnic High School,Northeast,,,,,,,,,,,,,,,,,,,,,,,,
-118.2695287873,34.0548509703,Middle,,,John H. Liechty Middle School,Central,,,,,,,,,,,,,,,,,,,,,,,,
-118.277522045,34.1081602034,High,,,John Marshall High School,Central,,,,,,,,,,,,,,,,,,,,,,,,
-118.2924405184,33.9869868471,Middle,,,John Muir Middle School,West,,,,,,,,,,,,,,,,,,,,,,,,
-118.2936321056,34.0267520507,Elementary,,,John W. Mack Elementary School,Central,,,,,,,,,,,,,,,,,,,,,,,,
-118.327202992,34.0428221789,Middle,"33455B, 33455A",,Johnnie L. Cochran Jr. Middle School,West,,,Yes,,,,,,,,,,,,,,,,,,,,,
-118.2365066146,33.969791993,High,,,Jordan High School ,South,,,,,,,,,,,,,,,,,,,,,,,,
-118.3175656215,34.0948540199,Middle,,,Joseph Le Conte Middle School,West,,,,,,,,,,,,,,,,,,,,,,,,
-118.2467186471,33.9563662426,Elementary,,,Judith F. Baca Arts Academy,South,,,,,,,,,,,,,,,,,,,,,,,,
-118.3938005483,34.2103318416,Elementary,,,Julie Korenstein Elementary School,Northeast,,,,,,,,,,,,,,,,,,,,,,,,
-118.6355106731,34.2157418095,Elementary,,,Justice Street Academy Charter School,Northwest,,,,,,,,,,,,,,,,,,,,,,,,
-118.427874420123,33.9587763196953,Middle,"57346B, 57346A",,Katherine Johnson STEM Academy,West,,,Yes,,,,,,,,,,,,,,,,,,,,,
-118.4890522372,34.0709121565,Elementary,,,Kenter Canyon Charter Elementary School,West,,,,,,,,,,,,,,,,,,,,,,,,
-118.4050280849,33.9621654205,Elementary,"4712C, 4712B, 4712A",,Kentwood Elementary School,West,,,Yes,,,,,,,,,,,,,,,,,,,,,
-118.4583374087,34.1677739121,Elementary,,,Kester Avenue Elementary School,Northeast,,,,,,,,,,,,,,,,,,,,,,,,
-118.3029548668,34.0918702732,Elementary,"40098B, 40098A",,Kingsley Elementary School,West,,,Yes,,,,,,,,,,,,,,,,,,,,,
-118.4296586464,34.1906784157,Elementary,,,Kittridge Street Elementary School,Northeast,,,,,,,,,,,,,,,,,,,,,,,,
-118.4926466558,34.2852655855,Elementary,91344K,,Knollwood Preparatory Academy,Northwest,,,Yes,,,,,,,,,,,,,,,,,,,,,
-118.30598756,33.9578439162,Elementary,4786A,,La Salle Avenue Elementary School,West,,,Yes,,,,,,,,,,,,,,,,,,,,,
-118.2806060816,34.0667078704,Elementary,,,Lafayette Park Primary Center,Central,,,,,,,,,,,,,,,,,,,,,,,,
-118.5015138184,34.1924127851,span,,,Lake Balboa Magnet,Northwest,,,,,,,,,,,,,,,,,,,,,,,,
-118.2710848058,34.0682287731,Elementary,,,Lake Street Primary School,Central,,,,,,,,,,,,,,,,,,,,,,,,
-118.4929751123,34.1484253862,Elementary,,,Lanai Road Elementary School,Northwest,,,,,,,,,,,,,,,,,,,,,,,,
-118.4703206019,34.2311269693,Elementary,,,Langdon Avenue Elementary School,Northwest,,,,,,,,,,,,,,,,,,,,,,,,
-118.3768700645,34.166590332,Elementary,,,Lankershim Elementary School,Northeast,,,,,,,,,,,,,,,,,,,,,,,,
-118.4592628591,34.2467690869,Elementary,"50576B, 50576A",,Lassen Elementary School,Northwest,,,Yes,,,,,,,,,,,,,,,,,,,,,
-118.2027401935,34.0918463038,Elementary,"83206B, 83206A",,Latona Avenue Elementary School,East ,,,Yes,,,,,,,,,,,,,,,,,,,,,
-118.3631179445,34.0903207963,Elementary,,,Laurel Elementary School,West,,,,,,,,,,,,,,,,,,,,,,,,
-118.2616538927,33.8562551976,Elementary,"19302B, 19302A",,Leapwood Avenue Elementary School,South,,,Yes,,,,,,,,,,,,,,,,,,,,,
-118.1788956362,33.9415160405,High,,,Legacy High School Complex,East ,,,,,,,,,,,,,,,,,,,,,,,,
-118.3007439628,33.7247816335,Elementary,,,Leland Street Elementary School,South,,,,,,,,,,,,,,,,,,,,,,,,
-118.5144210332,34.1936506263,Elementary,"91343D, 11206A ",,Lemay Street Elementary School,Northwest,,,Yes,,,,,,,,,,,,,,,,,,,,,
